Get Map Service Info,200,OK,text,1747,318
Get Legend,200,OK,text,903,13
Mapserver Export Map 1,200,OK,bin,8909,834
Mapserver Export Map 1,200,OK,bin,1567,73
Mapserver Export Map 1,200,OK,bin,2460,64
Mapserver Export Map 1,200,OK,bin,1139,56
Featureserver Query 1,200,OK,text,851620,647
Featureserver Query 1,200,OK,text,857347,369
Featureserver Query 1,200,OK,text,852175,497
Featureserver Query 1,200,OK,text,850588,393
Get Map Service Info,200,OK,text,1747,57
Get Legend,200,OK,text,903,22
Mapserver Export Map 1,200,OK,bin,6434,99
Mapserver Export Map 1,200,OK,bin,9607,166
Mapserver Export Map 1,200,OK,bin,1185,40
Mapserver Export Map 1,200,OK,bin,8559,131
Featureserver Query 1,200,OK,text,849837,477
Featureserver Query 1,200,OK,text,847029,334
Featureserver Query 1,200,OK,text,851171,309
Featureserver Query 1,200,OK,text,626,8
Get Map Service Info,200,OK,text,1747,47
Get Legend,200,OK,text,903,20
Mapserver Export Map 1,200,OK,bin,5725,87
Mapserver Export Map 1,200,OK,bin,4317,90
Get Map Service Info,200,OK,text,1747,87
Get Legend,200,OK,text,903,10
Mapserver Export Map 1,200,OK,bin,8909,80
Mapserver Export Map 1,200,OK,bin,1567,26
Mapserver Export Map 1,200,OK,bin,2460,34
Mapserver Export Map 1,200,OK,bin,1139,24
Featureserver Query 1,200,OK,text,851620,312
Featureserver Query 1,200,OK,text,857347,303
Featureserver Query 1,Non HTTP response code: javax.net.ssl.SSLProtocolException,Non HTTP response message: Data received in non-data state: 6,text,1472,222
Get Map Service Info,200,OK,text,1747,84
Get Legend,200,OK,text,903,9
Mapserver Export Map 1,200,OK,bin,8909,76
Mapserver Export Map 1,200,OK,bin,1567,21
Mapserver Export Map 1,200,OK,bin,2460,32
Mapserver Export Map 1,200,OK,bin,1139,29
Featureserver Query 1,200,OK,text,851620,292
Featureserver Query 1,200,OK,text,857347,298
Featureserver Query 1,200,OK,text,852175,214
Featureserver Query 1,200,OK,text,850588,260
Get Map Service Info,200,OK,text,1747,40
Get Legend,200,OK,text,903,10
Mapserver Export Map 1,200,OK,bin,6434,77
Mapserver Export Map 1,200,OK,bin,9607,86
Mapserver Export Map 1,200,OK,bin,1185,34
Mapserver Export Map 1,200,OK,bin,8559,85
Featureserver Query 1,200,OK,text,849837,354
Featureserver Query 1,200,OK,text,847029,240
Featureserver Query 1,200,OK,text,851171,258
Featureserver Query 1,200,OK,text,626,5
Get Map Service Info,200,OK,text,1747,32
Get Legend,200,OK,text,903,11
Mapserver Export Map 1,200,OK,bin,5725,45
Mapserver Export Map 1,200,OK,bin,4317,48
Mapserver Export Map 1,200,OK,bin,5934,66
Mapserver Export Map 1,200,OK,bin,3415,42
Featureserver Query 1,200,OK,text,108821,94
Featureserver Query 1,200,OK,text,725177,245
Featureserver Query 1,200,OK,text,852804,248
Featureserver Query 1,200,OK,text,853009,276
Get Map Service Info,200,OK,text,1747,43
Get Legend,200,OK,text,903,14
Mapserver Export Map 1,200,OK,bin,10212,113
Mapserver Export Map 1,200,OK,bin,4705,52
